CODE,TREE,LOCALITY,SPECIES,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORIGIN,STAND,EXTRACTION #,HAPLOTYPE,Colour
P4-001,1,Dinnet,Intermediate,57.074,-2.899,165,Scotland,autochthonus,Forest,DIN1,10,White
P4-001,2,Dinnet,Quercus robur,57.074,-2.899,165,Scotland,autochthonus,Forest,DIN2,10,White
P4-001,3,Dinnet,Intermediate,57.074,-2.899,165,Scotland,autochthonus,Forest,DIN3,10,White
P4-001,4,Dinnet,-,57.074,-2.899,165,Scotland,autochthonus,Forest,DIN4,10,White
P4-001,5,Dinnet,Intermediate,57.074,-2.899,165,Scotland,autochthonus,Forest,DIN5,10,White
P4-002,1,Chatelherault,-,55.762,-4.011,76,Scotland,autochthonus,Forest,CHAT1,9,Orange
P4-002,2,Chatelherault,-,55.762,-4.011,76,Scotland,autochthonus,Forest,CHAT2,9,Orange
P4-002,3,Chatelherault,-,55.762,-4.011,76,Scotland,autochthonus,Forest,CHAT3,9,Orange
P4-002,4,Chatelherault,-,55.762,-4.011,76,Scotland,autochthonus,Forest,CHAT4,9,Orange
P4-002,5,Chatelherault,-,55.762,-4.011,76,Scotland,autochthonus,Forest,CHAT5,9,Orange
P4-003,1,Mains Estate,-,55.939,-4.347,100,Scotland,autochthonus,Forest,MAIN1,9,Orange
P4-003,2,Mains Estate,-,55.939,-4.347,100,Scotland,autochthonus,Forest,MAIN2,9,Orange
P4-003,3,Mains Estate,-,55.939,-4.347,100,Scotland,autochthonus,Forest,MAIN3,10,White
P4-003,4,Mains Estate,-,55.939,-4.347,100,Scotland,autochthonus,Forest,MAIN4,9,Orange
P4-003,5,Mains Estate,-,55.939,-4.347,100,Scotland,autochthonus,Forest,MAIN5,9,Orange
P4-004,1,Muir of Dinnet,Quercus petraea,57.065,-2.932,180,Scotland,autochthonus,Forest,DIN6,10,White
P4-004,2,Muir of Dinnet,-,57.065,-2.932,180,Scotland,autochthonus,Forest,DIN7,10,White
P4-004,3,Muir of Dinnet,Intermediate,57.065,-2.932,180,Scotland,autochthonus,Forest,DIN8,10,White
P4-004,4,Muir of Dinnet,Quercus petraea,57.065,-2.932,180,Scotland,autochthonus,Forest,DIN9,10,White
P4-004,5,Muir of Dinnet,Intermediate,57.065,-2.932,180,Scotland,autochthonus,Forest,DIN11,10,White
P4-005,1,Strone,Quercus petraea,56.404,-4.909,76,Scotland,autochthonus,Forest,STRO1,9,Orange
P4-005,2,Strone,-,56.404,-4.909,76,Scotland,autochthonus,Forest,STRO2,9,Orange
P4-005,3,Strone,Quercus petraea,56.404,-4.909,76,Scotland,autochthonus,Forest,STRO3,9,Orange
P4-005,4,Strone,Quercus petraea,56.404,-4.909,76,Scotland,autochthonus,Forest,STRO4,9,Orange
P4-005,5,Strone,Quercus petraea,56.404,-4.909,76,Scotland,autochthonus,Forest,STRO5,9,Orange
P4-006,1,Dalavich,Quercus petraea,56.264,-5.28,50,Scotland,autochthonus,Forest,DALA1 ,9,Orange
P4-006,2,Dalavich,-,56.264,-5.28,50,Scotland,autochthonus,Forest,DALA2,9,Orange
P4-006,3,Dalavich,Quercus petraea,56.264,-5.28,50,Scotland,autochthonus,Forest,DALA3,9,Orange
P4-006,4,Dalavich,Quercus petraea,56.264,-5.28,50,Scotland,autochthonus,Forest,DALA4,9,Orange
P4-006,5,Dalavich,Quercus petraea,56.264,-5.28,50,Scotland,autochthonus,Forest,DALA5,9,Orange
P4-007,1,Glennant ,Intermediate,56.412,-5.218,76,Scotland,autochthonus,Forest,GLNN1,9,Orange
P4-007,2,Glennant ,Intermediate,56.412,-5.218,76,Scotland,autochthonus,Forest,GLNN2,9,Orange
P4-007,3,Glennant ,Intermediate,56.412,-5.218,76,Scotland,autochthonus,Forest,GLNN3,9,Orange
P4-007,4,Glennant ,Intermediate,56.412,-5.218,76,Scotland,autochthonus,Forest,GLNN4,9,Orange
P4-007,5,Glennant ,Quercus petraea,56.412,-5.218,76,Scotland,autochthonus,Forest,GLNN5,9,Orange
P4-008,1,Taynish,-,55.987,-5.646,10,Scotland,autochthonus,Forest,TAYN1,9,Orange
P4-008,2,Taynish,-,55.987,-5.646,10,Scotland,autochthonus,Forest,TAYN2,9,Orange
P4-008,3,Taynish,Quercus petraea,55.987,-5.646,10,Scotland,autochthonus,Forest,TAYN3,9,Orange
P4-008,4,Taynish,-,55.987,-5.646,10,Scotland,autochthonus,Forest,TAYN4,9,Orange
P4-008,5,Taynish,Quercus petraea,55.987,-5.646,10,Scotland,autochthonus,Forest,TAYN5,9,Orange
P4-009,1,Glengallain,Quercus robur,56.314,-5.478,122,Scotland,autochthonus,Forest,GLEG1,10,White
P4-009,2,Glengallain,Intermediate,56.314,-5.478,122,Scotland,autochthonus,Forest,GLEG2,10,White
P4-009,3,Glengallain,Quercus robur,56.314,-5.478,122,Scotland,autochthonus,Forest,GLEG3,10,White
P4-009,4,Glengallain,Quercus robur,56.314,-5.478,122,Scotland,autochthonus,Forest,GLEG4,10,White
P4-009,5,Glengallain,Intermediate,56.314,-5.478,122,Scotland,autochthonus,Forest,GLEG5,10,White
P4-010,1,Cloanaig,Quercus petraea,55.756,-5.395,30,Scotland,autochthonus,Forest,CLOA1,9,Orange
P4-010,2,Cloanaig,-,55.756,-5.395,30,Scotland,autochthonus,Forest,CLOA2,9,Orange
P4-010,3,Cloanaig,Quercus petraea,55.756,-5.395,30,Scotland,autochthonus,Forest,CLOA3,9,Orange
P4-010,4,Cloanaig,Quercus petraea,55.756,-5.395,30,Scotland,autochthonus,Forest,CLOA4,9,Orange
P4-010,5,Cloanaig,Quercus petraea,55.756,-5.395,30,Scotland,autochthonus,Forest,CLOA5,9,Orange
P4-011,1,Dunloskin,Quercus robur,55.958,-4.941,122,Scotland,autochthonus,Forest,DUNL1,9,Orange
P4-011,2,Dunloskin,Quercus robur,55.958,-4.941,122,Scotland,autochthonus,Forest,DUNL2,9,Orange
P4-011,3,Dunloskin,Quercus robur,55.958,-4.941,122,Scotland,autochthonus,Forest,DUNL3,9,Orange
P4-011,4,Dunloskin,Intermediate,55.958,-4.941,122,Scotland,autochthonus,Forest,DUNL4,9,Orange
P4-011,5,Dunloskin,Intermediate,55.958,-4.941,122,Scotland,autochthonus,Forest,DUNL5,9,Orange
P4-012,1,Glenan,Quercus petraea,55.879,-5.311,15,Scotland,autochthonus,Forest,GLEA1,9,Orange
P4-012,2,Glenan,Quercus petraea,55.879,-5.311,15,Scotland,autochthonus,Forest,GLEA2,9,Orange
P4-012,3,Glenan,Quercus petraea,55.879,-5.311,15,Scotland,autochthonus,Forest,GLEA3,9,Orange
P4-012,4,Glenan,Intermediate,55.879,-5.311,15,Scotland,autochthonus,Forest,GLEA4,9,Orange
P4-012,5,Glenan,Intermediate,55.879,-5.311,15,Scotland,autochthonus,Forest,GLEA5,9,Orange
P4-013,1,North Sannox,Intermediate,55.673,-5.159,15,Scotland,autochthonus,Forest,SANN1,9,Orange
